"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "YAML", "CSS", "comment", "blank", "total"
"d:\VueProject\vue-manage-system-master\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\VueProject\vue-manage-system-master\README.md", "Markdown", 0, 0, 0, 0, 104, 0, 0, 0, 0, 34, 138
"d:\VueProject\vue-manage-system-master\README_EN.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 27, 120
"d:\VueProject\vue-manage-system-master\auto-imports.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\VueProject\vue-manage-system-master\components.d.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 3, 3, 58
"d:\VueProject\vue-manage-system-master\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 3, 22
"d:\VueProject\vue-manage-system-master\package-lock.json", "JSON", 0, 1881, 0, 0, 0, 0, 0, 0, 0, 1, 1882
"d:\VueProject\vue-manage-system-master\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\VueProject\vue-manage-system-master\public\table.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 40
"d:\VueProject\vue-manage-system-master\src\App.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\VueProject\vue-manage-system-master\src\api\index.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 18, 11, 141
"d:\VueProject\vue-manage-system-master\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"d:\VueProject\vue-manage-system-master\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\VueProject\vue-manage-system-master\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 111, 1, 25, 137
"d:\VueProject\vue-manage-system-master\src\components\header.vue", "Vue", 0, 0, 0, 0, 0, 149, 0, 0, 10, 19, 178
"d:\VueProject\vue-manage-system-master\src\components\sidebar.vue", "Vue", 0, 0, 0, 0, 0, 106, 0, 0, 64, 12, 182
"d:\VueProject\vue-manage-system-master\src\components\tags.vue", "Vue", 0, 0, 0, 0, 0, 143, 0, 0, 9, 15, 167
"d:\VueProject\vue-manage-system-master\src\main.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 4, 29
"d:\VueProject\vue-manage-system-master\src\router\index.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 0, 15, 5, 207
"d:\VueProject\vue-manage-system-master\src\store\permiss.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\VueProject\vue-manage-system-master\src\store\sidebar.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\VueProject\vue-manage-system-master\src\store\tags.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"d:\VueProject\vue-manage-system-master\src\utils\request.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\VueProject\vue-manage-system-master\src\views\403.vue", "Vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"d:\VueProject\vue-manage-system-master\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"d:\VueProject\vue-manage-system-master\src\views\charts.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 0, 4, 128
